Product,AA_Price,A_Price,AAA_Price
Explantation Device,125.0,106.25,143.75
Release Aid,75.0,63.75,86.25
Service Set Supplem. f. CI RDPURE Impl.,476.0,404.6,547.4
"BL Profile Drill, single-patient",47.0,39.95,54.05
"BLT Profile Drill, single-patient",47.0,39.95,54.05
"BLT Tap, single-patient",47.0,39.95,54.05
BLT Drill,110.0,93.5,126.5
BL/NNC Profile Drill,217.0,184.45,249.55
BL/TE/NNC Tap,228.0,193.8,262.2
BL Profile Drill,217.0,184.45,249.55
BL/TE Tap,228.0,193.8,262.2
"BLT Drill Set, single-patient",55.0,46.75,63.25
"Needle Drill, single-patient",47.0,39.95,54.05
ND Position Indicator,54.0,45.9,62.1
RD Position Indicator,54.0,45.9,62.1
Bonding Aid for CI RD Straumann PUREbase,30.0,25.5,34.5
Straumann® Surgical Cassette,665.0,565.25,764.75
BLT Pilot Drill guided,135.0,114.75,155.25
Straumann® Basic Surgical Cassette guided,665.0,565.25,764.75
"Guided Adapter for Tap, FIBA",175.0,148.75,201.25
iEXCEL BLC/TLC Profile Drill,204.0,173.4,234.6
iEXCEL TLX Profile Drill,217.0,184.45,249.55
"iEXCEL X-ray Reference Foil, for BLX Implants",9.0,7.65,10.35
iEXCEL TorcFit™ Implant Driver,135.0,114.75,155.25
iEXCEL TorcFit™ Implant Driver for handpiece,135.0,114.75,155.25
Straumann® Surgical Cassette,665.0,565.25,764.75
Service Set Supplement for synOcta,1100.0,935.0,1265.0
"Drill Set, drill-stop compatible, single-patient",50.0,42.5,57.5
iEXCEL Drill Extender,201.0,170.85,231.15
Straumann® Basic Surgical Cassette,665.0,565.25,764.75
"Drill Set, single-patient",55.0,46.75,63.25
"Alignment Pin Set, single use",115.0,97.75,132.25
Drill Stop Set,45.0,38.25,51.75
Drill Stop Aid,105.0,89.25,120.75
Dish for tray,9.0,7.65,10.35
"Divider set, flat, for implants",20.0,17.0,23.0
Divider,9.0,7.65,10.35
iEXCEL Straumann® Modular Cassette A,161.0,136.85,185.15
iEXCEL A Module Grommet Tray,62.0,52.7,71.3
iEXCEL A Module Tray,62.0,52.7,71.3
iEXCEL Straumann® Modular Cassette C,314.0,266.9,361.1
iEXCEL Ultrasonic Cleaning Cassette,68.0,57.8,78.2
iEXCEL Spare Label Plate,66.0,56.1,75.9
B Module Tray,168.0,142.8,193.2
iEXCEL Straumann® iExcel Module Tray B,168.0,142.8,193.2
"iEXCEL B Module, Tray TorcFit™ BLC, TLC",158.0,134.3,181.7
iEXCEL Round Bur,45.0,38.25,51.75
